player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Bradley Beal,bealbr01,2022,RS,WAS,2979,1439,1.660208895590193,-.2142800304655604,1.445928865124633,-1.799574823204526,3.73006885709945,1.930494033894923,1.070699782315973,.6229039223087824,1.693603704624756,3.283887045057663,3.283887045057663,0,1.272407196589178,.1765159070498033,1.448923103638981,.6587941919612958
Malik Beasley,beaslma01,2022,PO,MIN,267,119,-.8474906480686342,-3.168691403350144,-4.016182051418778,-11.35758278887053,6.546205237535172,-4.811377551335358,-3.088475814319511,-1.433405853139277,-4.521881667458788,-.1133955123214266,0,-.1133955123214266,-2.977341655251354,-2.261554551657024,-5.238896206908378,2.147264278087861
Malik Beasley,beaslma01,2022,RS,MIN,4250,1976,1.03536578171769,-2.559273744860053,-1.523907963142363,-.7580530846701323,.4249633495418659,-.3330897351282665,.6894512951503176,-2.077077332398622,-1.387626037248304,1.375182148842007,1.375182148842007,0,.9236308414122784,-2.530122454136124,-1.606491612723846,.1236128120014661
Jordan Bell,belljo01,2022,RS,CHI,4,2,19.53668913595124,-34.46979634196476,-14.93310720601352,57.52924584323829,-26.2841596180864,31.24508622515188,28.70931270503741,-34.76987553534146,-6.060562830304047,-.0035792296547103,-.0035792296547103,0,27.48472944730982,-.885774536131101,26.59895491117872,5.95415223356672
DeAndre' Bembry,bembrde01,2022,RS,BRK,1986,949,-.9001052009276509,1.187200785807496,.2870955848798449,.5117138770487769,-.6624650759242072,-.1507511988754303,-.6775460175490612,.888252957320374,.2107069397713128,1.429106233243964,1.429106233243964,0,-.5632385912058155,1.325205560581761,.7619669693759452,-.3075230330666673
DeAndre' Bembry,bembrde01,2022,RS,MIL,169,77,-2.223389281756305,.2368415590320128,-1.986547722724292,-3.424657774537984,2.027717684463593,-1.396940090074391,-2.660051519841997,.5689107145013885,-2.091140805340608,.0258043254138967,.0258043254138967,0,-2.963361599013127,-.3610579665921282,-3.324419565605255,-.3060780888942212
Davis Bertans,bertada01,2022,PO,DAL,367,179,2.298163855439167,.7570983788077422,3.055262234246909,.5731226196371448,4.914022329977341,5.487144949614486,2.017963535402199,1.656281298127056,3.674244833529255,.6095106511166772,0,.6095106511166772,2.964609831996151,2.300603468215316,5.265213300211467,.7107638226648496
Davis Bertans,bertada01,2022,RS,DAL,635,306,-.7991184145030447,1.501347403285778,.702228988782733,2.509149162585409,3.75388987345901,6.263039036044418,-.1795283660156767,2.025239236144196,1.845710870128519,.7177302885855452,.7177302885855452,0,.1867907496007923,1.060598699407713,1.247389449008505,.0337844927072607
Davis Bertans,bertada01,2022,RS,WAS,1041,501,-1.853951008420716,-3.620962321639513,-5.474913330060229,.1665199384352515,-1.561912603017826,-1.395392664582574,-1.518802014218648,-3.377611254669671,-4.89641326888832,-.5498237634142081,-.5498237634142081,0,-.5126704587124807,-3.516912313228178,-4.029582771940659,.2148332774648606
Patrick Beverley,beverpa01,2022,PO,MIN,404,194,.1130978481981252,2.067751896861004,2.18084974505913,-1.429975573945125,-1.286673371748933,-2.716648945694057,-.2051904798272493,1.466968798242574,1.261778318415324,.4037161719314855,0,.4037161719314855,-.3628637474985739,3.473173727568306,3.110309980069732,-1.384597576972835
Patrick Beverley,beverpa01,2022,RS,MIN,3108,1476,2.38307397194706,1.955570928428409,4.338644900375469,-.326786303979837,1.469307076837516,1.142520772857679,1.935904725535051,1.967966673184597,3.903871398719649,5.016428611642397,5.016428611642397,0,1.83120504868035,2.538538474462714,4.369743523143064,.113682346066196
Saddiq Bey,beysa01,2022,RS,DET,5595,2704,.3928942426870373,-2.051562969559666,-1.658668726872629,-1.397586891018958,-3.448470308361772,-4.84605719938073,.1308292725275953,-2.431292448700606,-2.300463176173011,.6194220879372671,.6194220879372671,0,-.4897646478870513,-2.295325703874483,-2.785090351761534,-.1209832425903685
Khem Birch,birchkh01,2022,PO,TOR,120,63,-5.214346221298836,-.1790928101082805,-5.393439031407117,7.348160843982241,7.634016658021454,14.9821775020037,-2.886001440001549,1.579308643828624,-1.306692796172925,.0479952201999414,0,.0479952201999414,-5.38669133091467,2.253683274343393,-3.133008056571277,.3029738543869454
